,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
10,1,中國語文知識與應用,7101134,11,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),吳慧貞,2  2/0/0,2,通識,"二2,3",共同教室大樓203,53
11,1,中國語文知識與應用,7101134,12,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳逸根,2  2/0/0,2,通識,"二2,3",共同教室大樓214,53
12,1,中國語文知識與應用,7101134,13,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),蔡翔任,2  2/0/0,2,通識,"二2,3",共同教室大樓205,53
13,1,中國語文知識與應用,7101134,14,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),許正平,2  2/0/0,2,通識,"二2,3",共同教室大樓204,53
14,1,中國語文知識與應用,7101134,15,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),吳慧貞,2  2/0/0,2,通識,"二10,11",共同教室大樓401,53
15,1,中國語文知識與應用,7101134,16,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),鍾媄媜,2  2/0/0,2,通識,"二10,11",共同教室大樓203,53
16,1,中國語文知識與應用,7101134,17,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),蔡翔任,2  2/0/0,2,通識,"二10,11",共同教室大樓205,53
17,1,中國語文知識與應用,7101134,18,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),許正平,2  2/0/0,2,通識,"二10,11",共同教室大樓204,53
18,1,中國語文知識與應用,7101134,19,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳厚任,2  2/0/0,2,通識,"二10,11",共同教室大樓202,53
19,1,中國語文知識與應用,7101134,20,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),蔡翔任,2  2/0/0,2,通識,"三2,3",共同教室大樓205,53
20,1,中國語文知識與應用,7101134,21,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),賴柯助,2  2/0/0,2,通識,"三2,3",文學院104,53
21,1,中國語文知識與應用,7101134,22,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),游富凱,2  2/0/0,2,通識,"三2,3",文學院102,53
22,1,中國語文知識與應用,7101134,23,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),馬玉紅,2  2/0/0,2,通識,"三2,3",共同教室大樓204,53
23,1,中國語文知識與應用,7101134,24,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),李映瑾,2  2/0/0,2,通識,"四2,3",共同教室大樓204,53
24,1,中國語文知識與應用,7101134,25,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),馬玉紅,2  2/0/0,2,通識,"四2,3",共同教室大樓214,53
25,1,中國語文知識與應用,7101134,26,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),廖浿晴,2  2/0/0,2,通識,"四2,3",共同教室大樓205,53
26,1,中國語文知識與應用,7101134,27,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),鍾媄媜,2  2/0/0,2,通識,"四2,3",共同教室大樓213,53
27,1,中國語文知識與應用,7101134,28,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),李映瑾,2  2/0/0,2,通識,"四10,11",共同教室大樓204,53
28,1,中國語文知識與應用,7101134,29,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),馬玉紅,2  2/0/0,2,通識,"四10,11",共同教室大樓205,53
29,1,中國語文知識與應用,7101134,30,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),廖浿晴,2  2/0/0,2,通識,"四10,11",共同教室大樓214,62
30,1,中國語文知識與應用,7101134,31,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),葉書珊,2  2/0/0,2,通識,"五2,3",共同教室大樓213,53
31,1,中國語文知識與應用,7101134,32,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳伯謙,2  2/0/0,2,通識,"五2,3",共同教室大樓214,53
32,1,中國語文知識與應用,7101134,33,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),莊家瑋,2  2/0/0,2,通識,"五2,3",共同教室大樓205,53
33,1,中國語文知識與應用,7101134,34,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),鍾媄媜,2  2/0/0,2,通識,"五2,3",共同教室大樓204,53
34,1,中國語文知識與應用,7101134,35,中文閱讀與生命書寫（二）Reading Chinese and Writing Life Experience (II),陳逸根,2  2/0/0,2,通識,"一10,11",文學院116,35
35,1,英文能力訓練,7102111,1,實用英語表達（基礎班）Practical English Usage (Pre-intermediate Level),吳永倩,2  2/0/0,2,通識,"二2,3",語言中心語言教室224,40
36,1,英文能力訓練,7102121,1,實用英語技巧（強化班）Practical English Usage (Intermediate Level),楊岳龍,2  2/0/0,2,通識,"一8,9",語言中心語言教室225,40
37,1,英文能力訓練,7102121,2,實用英語技巧（強化班）Practical English Usage (Intermediate Level),楊岳龍,2  2/0/0,2,通識,"二10,11",語言中心語言教室225,40
